airport_ident,length__meters,width__meters,le_ident,le_heading_degT,le_displaced_threshold__meters,he_ident,he_heading_degT,he_displaced_threshold__meters,le_latitude_deg,le_longitude_deg,he_latitude_deg,he_longitude_deg
KFSM,2438,46,07,81,0,25,261,0,35.33359909057617,-94.38140106201172,35.33700180053711,-94.35489654541016
KFST,2288,30,12,127,0,30,307,0,30.92009925842285,-102.927001953125,30.907800674438477,-102.90799713134766
KFTG,2438,30,08,91,0,26,271,0,39.79399871826172,-104.56500244140625,39.79359817504883,-104.53700256347656
KFTG,2438,30,17,180,0,35,360,0,39.78559875488281,-104.52400207519531,39.76359939575195,-104.52400207519531
KFTW,2286,46,16,172,0,34,352,0,32.8302001953125,-97.36250305175781,32.80979919433594,-97.35900115966797
KFTY,1767,30,08,80,0,26,260,0,33.77870178222656,-84.53009796142578,33.78150177001953,-84.51129913330078
KFWA,3658,46,05,44,0,23,224,0,40.96269989013672,-85.21269989013672,40.98630142211914,-85.18240356445312
KFWA,2439,46,14,135,0,32,315,0,40.993499755859375,-85.20369720458984,40.97809982299805,-85.18309783935547
KFWS,1829,30,17R,180,0,35L,0,0,32.5724983215332,-97.30970001220703,32.555999755859375,-97.30970001220703
KFXE,1829,30,09,84,0,27,264,0,26.197599411010742,-80.18090057373047,26.199399948120117,-80.1626968383789
KFXY,1770,30,15,155,0,33,335,0,43.2406005859375,-93.62689971923828,43.226200103759766,-93.6176986694336
KFYM,1798,30,02,14,122,20,194,155,35.05179977416992,-86.56639862060547,35.06760025024414,-86.56169891357422
KFYV,1831,30,16,169,0,34,349,0,36.01319885253906,-94.1719970703125,35.99700164794922,-94.16809844970703
KGAD,2073,46,06,61,0,24,241,0,33.96580123901367,-86.1010971069336,33.974998474121094,-86.08149719238281
KGBD,2393,30,17,180,0,35,360,0,38.3578987121582,-98.8573989868164,38.336299896240234,-98.8572006225586
KGBG,1766,46,03,28,0,21,208,0,40.93090057373047,-90.4365005493164,40.94490051269531,-90.42659759521484
KGBN,2591,46,17,181,0,35,1,0,32.899200439453125,-112.72000122070312,32.87580108642578,-112.72000122070312
KGCC,2286,46,16,170,0,34,350,0,44.356998443603516,-105.54399871826172,44.33679962158203,-105.53900146484375
KGCK,2225,30,17,180,0,35,0,0,37.93920135498047,-100.7229995727539,37.9192008972168,-100.7229995727539
KGCN,2743,46,03,41,0,21,221,0,35.94300079345703,-112.15699768066406,35.961700439453125,-112.13700103759766
KGCY,1921,30,05,47,0,23,227,0,36.18709945678711,-82.8228988647461,36.19879913330078,-82.80719757080078
KGEG,3353,46,03,45,0,21,225,0,47.61389923095703,-117.54399871826172,47.63119888305664,-117.51799774169922
KGEG,2499,46,07,90,0,25,270,0,47.617000579833984,-117.5530014038086,47.616798400878906,-117.5199966430664
KGEU,2164,30,01,26,214,19,206,305,33.51810073852539,-112.30000305175781,33.53559875488281,-112.29000091552734
KGEY,1921,30,15,169,0,33,349,0,44.526798248291016,-108.08200073242188,44.50979995727539,-108.0780029296875
KGFK,2240,46,17R,180,0,35L,360,0,47.95930099487305,-97.18119812011719,47.9390983581543,-97.18119812011719
KGGG,3048,46,13,134,0,31,314,0,32.39250183105469,-94.72010040283203,32.37350082397461,-94.69670104980469
KGJT,3201,46,11,125,0,29,305,0,39.1349983215332,-108.54399871826172,39.11840057373047,-108.51399993896484
KGKY,1853,30,16,168,0,34,348,0,32.672000885009766,-97.09629821777344,32.65570068359375,-97.09220123291016
KGLE,1829,30,17,181,0,35,1,0,33.66120147705078,-97.19950103759766,33.644798278808594,-97.19989776611328
KGLH,2439,46,18L,180,0,36R,360,0,33.49689865112305,-90.98210144042969,33.47489929199219,-90.98210144042969
KGLH,2139,46,18R,180,0,36L,360,0,33.49420166015625,-90.98719787597656,33.47489929199219,-90.98719787597656
KGLR,2005,46,09,90,0,27,270,0,45.01449966430664,-84.71700286865234,45.01449966430664,-84.69159698486328
KGLS,1829,46,13,140,0,31,320,0,29.271699905395508,-94.86759948730469,29.25909996032715,-94.85559844970703
KGLS,1829,46,17,181,0,35,1,0,29.273500442504883,-94.85910034179688,29.256999969482422,-94.8593978881836
KGNF,2134,46,13,132,0,31,312,0,33.841400146484375,-89.80850219726562,33.8286018371582,-89.79139709472656
KGNV,2287,46,11,102,0,29,282,0,29.69059944152832,-82.28060150146484,29.686199188232422,-82.25749969482422
KGPI,2745,46,02,35,0,20,215,0,48.29880142211914,-114.26799774169922,48.31909942626953,-114.24700164794922
KGPT,2744,46,14,135,0,32,315,0,30.415000915527344,-89.0822982788086,30.397499084472656,-89.06210327148438
KGPZ,1754,30,16,166,129,34,346,0,47.214698791503906,-93.51319885253906,47.19940185546875,-93.50740051269531
KGRB,2347,46,06,60,0,24,240,0,44.482398986816406,-88.13800048828125,44.49300003051758,-88.11250305175781
KGRB,2500,46,18,180,0,36,360,0,44.49380111694336,-88.13369750976562,44.47129821777344,-88.13359832763672
